Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8041    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
      162    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     6474    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:113(__init__)
       81    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     5879    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      807    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      660    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       19    0.001    0.000    0.004    0.000 /usr/lib/python3.12/typing.py:2780(__new__)
     5162    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     8175    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
    19322    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      592    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      593    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     3183    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     6287    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      270    0.001    0.000    0.008    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/util/_decorators.py:363(decorator)
    592/3    0.001    0.000    0.443    0.148 <frozen importlib._bootstrap_external>:989(exec_module)
     1184    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      166    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
     4587    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
 1041/232    0.001    0.000    0.394    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     1552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      935    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     6390    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
     4707    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
   1634/6    0.001    0.000    0.442    0.074 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  686/676    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      265    0.001    0.000    0.005    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/overrides.py:142(decorator)
  730/622    0.001    0.000    0.027    0.000 /usr/lib/python3.12/typing.py:392(inner)
      153    0.001    0.000    0.003    0.000 <frozen abc>:105(__new__)
      490    0.001    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_utils/_inspect.py:65(getargs)
     1776    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      241    0.001    0.000    0.013    0.000 /usr/lib/python3.12/typing.py:687(Union)
      243    0.001    0.000    0.006    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
     1351    0.001    0.000    0.002    0.000 {built-in method fromkeys}
      282    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
  507/131    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     1006    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
     2814    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       19    0.001    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1678(_guarded_repr_or_str)
        1    0.001    0.001    0.949    0.949 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/yfinance/scrapers/fundamentals.py:107(get_financials_time_series)
      230    0.001    0.000    0.003    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/overrides.py:83(verify_matching_signatures)
        1    0.001    0.001    0.001    0.001 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/util/version/__init__.py:186(LegacyVersion)
      486    0.001    0.000    0.002    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
    10096    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      243    0.001    0.000    0.084    0.000 /usr/lib/python3.12/re/_compiler.py:740(compile)
      660    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      592    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      660    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     4495    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     4058    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       92    0.001    0.000    0.005    0.000 /usr/lib/python3.12/typing.py:746(Literal)
     3111    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      731    0.001    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1178(__getattr__)
      737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
    98/50    0.001    0.000    0.009    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
      592    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     1086    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:312(_class_escape)
      325    0.001    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/soupsieve/css_parser.py:1094(selector_iter)
     4495    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      509    0.001    0.000    0.002    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_utils/_inspect.py:96(getargspec)
     4406    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
