Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1406/243    0.004    0.000    0.052    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
     1351    0.001    0.000    0.002    0.000 {built-in method fromkeys}
     1310    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:37(_check)
     1310    0.000    0.000    0.001    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
     1274    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:935(__eq__)
     1265    0.002    0.000    0.089    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
     1260    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1252    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
     1235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1209    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1184    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     1184    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1169    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1149    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1252(__eq__)
     1124    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     1124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
     1111    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
     1096    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
     1088    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1565(__eq__)
     1086    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:312(_class_escape)
     1065    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:166(_type_convert)
 1041/232    0.001    0.000    0.394    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     1040    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1018    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
     1017    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1011    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
     1011    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:726(__call__)
     1006    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
     1006    0.004    0.000    0.006    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
      998    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      989    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:83(groups)
      987    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      936    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      935    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      930    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      928    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      925    0.002    0.000    0.005    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
      897    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      861    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
      843    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      828    0.000    0.000    0.004    0.000 /usr/lib/python3.12/typing.py:723(<genexpr>)
      820    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      807    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      782    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      782    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      750    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    747/3    0.003    0.000    0.443    0.148 <frozen importlib._bootstrap>:1349(_find_and_load)
    745/3    0.002    0.000    0.443    0.148 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      745    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      745    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
      745    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      741    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      737    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
